Initial,date,course_id,time(m),summary
KM,1/8/2024,MATH-215-01,50,Learned about linear systems
KM,1/9/2024,DS-160-01,75,In class activities
KM,1/9/2024,BUSA-245-02,75,Learned about information systems
KM,1/9/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,1/10/2024,MATH-215-01,50,Learned about linear systems
KM,1/11/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,1/11/2024,DS-160-01,75,In class activities
KM,1/11/2024,BUSA-245-02,75,Learned about information systems
KM,1/12/2024,MATH-215-01,50,Learned about linear systems
KM,1/16/2024,BUSA-245-02,23,Lab for class
KM,1/16/2024,MATH-215-01,90,Homework
KM,1/18/2024,DS-160-01,62,Class Assignment
KM,1/22/2024,MATH-215-01,50,Learned about linear systems
KM,1/22/2024,DS-160-01,78,Podcast 1
KM,1/23/2024,DS-160-01,75,In class activities
KM,1/23/2024,BUSA-245-02,75,Learned about information systems
KM,1/23/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,1/24/2024,MATH-215-01,50,Learned about linear systems
KM,1/24/2024,PSYC-313-01,30,Homework
KM,1/24/2024,BUSA-245-02,30,Finsihing a lab
KM,1/24/2024,BUSA-245-02,23,Online Quiz
KM,1/25/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,1/25/2024,DS-160-01,75,In class activities
KM,1/25/2024,BUSA-245-02,75,Learned about information systems
KM,1/26/2024,MATH-215-01,50,Learned about linear systems
KM,1/29/2024,MATH-215-01,50,Learned about linear systems
KM,1/30/2024,MATH-215-01,60,Homework
KM,1/30/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,1/30/2024,DS-160-01,75,In class activities
KM,1/30/2024,BUSA-245-02,75,Learned about information systems
KM,1/31/2024,MATH-215-01,50,Learned about linear systems
KM,2/1/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,2/1/2024,DS-160-01,75,In class activities
KM,2/1/2024,BUSA-245-02,75,Learned about information systems
KM,2/4/2024,MATH-215-01,243,Project 1
KM,2/5/2024,MATH-215-01,50,Learned about linear systems
KM,2/6/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,2/6/2024,DS-160-01,75,In class activities
KM,2/6/2024,BUSA-245-02,75,Learned about information systems
KM,2/6/2024,MATH-215-01,62,Studying for test
KM,2/7/2024,PSYC-313-01,210,Studying for test
KM,2/12/2024,BUSA-245-02,20,Finsihing a lab
KM,2/13/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,2/13/2024,DS-160-01,75,In class activities
KM,2/13/2024,BUSA-245-02,75,Learned about information systems
KM,2/15/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,2/15/2024,DS-160-01,75,In class activities
KM,2/15/2024,BUSA-245-02,75,Learned about information systems
KM,2/15/2024,PSYC-313-01,37,Homework
KM,2/16/2024,MATH-215-01,50,Learned about linear systems
KM,2/19/2024,MATH-215-01,50,Learned about linear systems
KM,2/20/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,2/20/2024,DS-160-01,75,In class activities
KM,2/20/2024,BUSA-245-02,75,Learned about information systems
KM,2/20/2024,MATH-215-01,43,Homework
KM,2/20/2024,DS-160-01,53,Podcast 2
KM,2/21/2024,MATH-215-01,50,Learned about linear systems
KM,2/21/2024,DS-160-01,122,Podcast 2 & IDP 2
KM,2/22/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,2/22/2024,DS-160-01,75,In class activities
KM,2/22/2024,BUSA-245-02,75,Learned about information systems
KM,2/23/2024,MATH-215-01,50,Learned about linear systems
KM,3/4/2024,MATH-215-01,50,Learned about linear systems
KM,3/5/2024,MATH-215-01,50,Homework
KM,3/5/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,3/5/2024,DS-160-01,75,In class activities
KM,3/5/2024,BUSA-245-02,75,Learned about information systems
KM,3/6/2024,MATH-215-01,67,Homework
KM,3/6/2024,MATH-215-01,50,Learned about linear systems
KM,3/6/2024,DS-160-01,90,Homework
KM,3/7/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,3/7/2024,DS-160-01,75,In class activities
KM,3/7/2024,BUSA-245-02,75,Learned about information systems
KM,3/7/2024,DS-160-01,20,project planning
KM,3/8/2024,MATH-215-01,50,Learned about linear systems
KM,3/9/2024,BUSA-245-02,20,Finsihing a lab
KM,3/9/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,3/9/2024,DS-160-01,75,In class activities
KM,3/9/2024,BUSA-245-02,75,Learned about information systems
KM,3/10/2024,MATH-215-01,67,Homework
KM,3/10/2024,MATH-215-01,51,Learned about linear systems
KM,3/11/2024,PSYC-313-01,30,Potporrui #5 
KM,3/11/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,3/11/2024,DS-160-01,75,In class activities
KM,3/11/2024,BUSA-245-02,75,Learned about information systems
KM,3/11/2024,DS-160-01,313,EDA Project
KM,3/12/2024,BUSA-245-02,20,Finsihing a lab
KM,3/12/2024,MATH-215-01,50,Learned about linear systems
KM,3/15/2024,MATH-215-01,50,Learned about linear systems
KM,3/16/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,3/16/2024,DS-160-01,75,In class activities
KM,3/16/2024,BUSA-245-02,75,Learned about information systems
KM,3/17/2024,MATH-215-01,67,Homework
KM,3/17/2024,MATH-215-01,50,Learned about linear systems
KM,3/18/2024,PSYC-313-01,75,Learned about histroy of cognition
KM,3/18/2024,DS-160-01,75,In class activities
KM,3/18/2024,BUSA-245-02,75,Learned about information systems
KM,3/19/2024,MATH-215-01,104,Studying for test
KM,3/19/2024,MATH-215-01,50,Learned about linear systems
KM,3/22/2024,MATH-215-01,360,Project
KM,3/22/2024,MATH-215-01,50,Learned about linear systems
